"program","year","week","site","depth","BT","weekly_mean_temp","dhw","annual_max"
"TCRMP",2008,22,"Great Pond",4,30,27.6722529761905,0,0
"TCRMP",2009,22,"Great Pond",4,30,28.3543601190476,0,0
"TCRMP",2010,22,"Great Pond",4,30,29.4951071428571,0,0
"TCRMP",2011,22,"Great Pond",4,30,29.1318392857143,0,0
"TCRMP",2012,22,"Great Pond",4,30,28.5395059523809,0,0
"TCRMP",2013,22,"Great Pond",4,30,27.8455684523809,0,0
"TCRMP",2014,22,"Great Pond",4,30,27.8491309523809,0,0
"TCRMP",2015,22,"Great Pond",4,30,28.5308169642857,0,0
"TCRMP",2017,22,"Great Pond",4,30,28.7476726190476,0,0
"TCRMP",2018,22,"Great Pond",4,30,27.9752693452381,0,0
"TCRMP",2008,23,"Great Pond",4,30,27.8614613095238,0,0
"TCRMP",2009,23,"Great Pond",4,30,28.2064791666667,0,0
"TCRMP",2010,23,"Great Pond",4,30,29.7758928571429,0,0
"TCRMP",2011,23,"Great Pond",4,30,28.9185684523809,0,0
"TCRMP",2012,23,"Great Pond",4,30,28.933537202381,0,0
"TCRMP",2013,23,"Great Pond",4,30,27.9496666666667,0,0
"TCRMP",2014,23,"Great Pond",4,30,27.8908958333333,0,0
"TCRMP",2015,23,"Great Pond",4,30,28.7594241071429,0,0
"TCRMP",2017,23,"Great Pond",4,30,28.9465044642857,0,0
"TCRMP",2018,23,"Great Pond",4,30,28.0973869047619,0,0
"TCRMP",2008,24,"Great Pond",4,30,28.1837380952381,0,0
"TCRMP",2009,24,"Great Pond",4,30,28.5998333333333,0,0
"TCRMP",2010,24,"Great Pond",4,30,29.4554970238095,0,0
"TCRMP",2011,24,"Great Pond",4,30,29.4703898809524,0,0
"TCRMP",2012,24,"Great Pond",4,30,29.0265342261905,0,0
"TCRMP",2013,24,"Great Pond",4,30,28.2621324404762,0,0
"TCRMP",2014,24,"Great Pond",4,30,28.1068407738095,0,0
"TCRMP",2015,24,"Great Pond",4,30,28.6750178571429,0,0
"TCRMP",2017,24,"Great Pond",4,30,28.98071875,0,0
"TCRMP",2018,24,"Great Pond",4,30,28.3175431547619,0,0
"TCRMP",2008,25,"Great Pond",4,30,28.2925,0,0
"TCRMP",2009,25,"Great Pond",4,30,28.7530744047619,0,0
"TCRMP",2010,25,"Great Pond",4,30,29.0636994047619,0,0
"TCRMP",2011,25,"Great Pond",4,30,29.3253898809524,0,0
"TCRMP",2012,25,"Great Pond",4,30,29.0929092261905,0,0
"TCRMP",2013,25,"Great Pond",4,30,28.1000684523809,0,0
"TCRMP",2014,25,"Great Pond",4,30,28.2401205357143,0,0
"TCRMP",2015,25,"Great Pond",4,30,28.5935297619048,0,0
"TCRMP",2017,25,"Great Pond",4,30,28.6696056547619,0,0
"TCRMP",2018,25,"Great Pond",4,30,28.3673779761905,0,0
"TCRMP",2008,26,"Great Pond",4,30,28.0245476190476,0,0
"TCRMP",2009,26,"Great Pond",4,30,29.1442053571429,0,0
"TCRMP",2010,26,"Great Pond",4,30,29.6291934523809,0,0
"TCRMP",2011,26,"Great Pond",4,30,28.6768333333333,0,0
"TCRMP",2012,26,"Great Pond",4,30,29.0438199404762,0,0
"TCRMP",2013,26,"Great Pond",4,30,28.2325714285714,0,0
"TCRMP",2014,26,"Great Pond",4,30,28.3715982142857,0,0
"TCRMP",2015,26,"Great Pond",4,30,28.3773110119048,0,0
"TCRMP",2017,26,"Great Pond",4,30,28.6957410714286,0,0
"TCRMP",2018,26,"Great Pond",4,30,28.1758080357143,0,0
"TCRMP",2008,27,"Great Pond",4,30,28.1399613095238,0,0
"TCRMP",2009,27,"Great Pond",4,30,29.2836339285714,0,0
"TCRMP",2010,27,"Great Pond",4,30,29.5226160714286,0,0
"TCRMP",2011,27,"Great Pond",4,30,28.5537619047619,0,0
"TCRMP",2012,27,"Great Pond",4,30,28.7637961309524,0,0
"TCRMP",2013,27,"Great Pond",4,30,28.2914970238095,0,0
"TCRMP",2014,27,"Great Pond",4,30,28.4244166666667,0,0
"TCRMP",2015,27,"Great Pond",4,30,28.2391101190476,0,0
"TCRMP",2017,27,"Great Pond",4,30,28.8201383928572,0,0
"TCRMP",2018,27,"Great Pond",4,30,28.3327872023809,0,0
"TCRMP",2008,28,"Great Pond",4,30,28.2623422619048,0,0
"TCRMP",2009,28,"Great Pond",4,30,29.0589017857143,0,0
"TCRMP",2010,28,"Great Pond",4,30,29.4458363095238,0,0
"TCRMP",2011,28,"Great Pond",4,30,29.2234987646002,0,0
"TCRMP",2012,28,"Great Pond",4,30,28.9138363095238,0,0
"TCRMP",2013,28,"Great Pond",4,30,28.5837380952381,0,0
"TCRMP",2014,28,"Great Pond",4,30,28.4525461309524,0,0
"TCRMP",2015,28,"Great Pond",4,30,28.3045014880952,0,0
"TCRMP",2017,28,"Great Pond",4,30,29.4089895833333,0,0
